ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;ID,x,y;Time Frame was Captured;Time Packet was Sent;DLC_Latency#DeltaPacketTime#ValuesUpdate#FrameCreated
0,33.668915,120.34598;1,127.42307,121.05936;2,36.299984,213.44508;3,127.088196,213.91579;1739246900.708352;1739246900.7295892;0.021238327026367188#0.01814#1739246900.72967#1739246900.73053
0,33.855972,121.77487;1,127.38877,120.59257;2,36.43492,214.14038;3,127.806694,214.53589;1739246900.7283487;1739246900.7448995;0.016551971435546875#0.0153#1739246900.74496#1739246900.75585
0,33.006973,122.1553;1,127.04002,120.30679;2,36.099953,213.9756;3,127.99263,213.89809;1739246900.7383788;1739246900.7622013;0.02382349967956543#0.0173#1739246900.76227#1739246900.76761
0,33.66535,120.65973;1,127.46133,121.10803;2,35.938644,213.86887;3,127.179115,214.51917;1739246900.7583992;1739246900.7799115;0.02151322364807129#0.01772#1739246900.77998#1739246900.78385
0,34.10544,121.62764;1,127.92342,120.6139;2,36.31846,213.68782;3,128.42432,213.73595;1739246900.7784142;1739246900.7953131;0.016899824142456055#0.01541#1739246900.79539#1739246900.79913
0,33.84793,122.000565;1,127.82277,120.53121;2,36.795555,213.54517;3,127.87847,213.27951;1739246900.7884204;1739246900.811967;0.023547649383544922#0.01663#1739246900.81203#1739246900.82034
0,33.39219,120.99851;1,128.53133,120.613976;2,36.950245,213.35013;3,128.16884,213.95937;1739246900.8084314;1739246900.8297029;0.021272659301757812#0.01774#1739246900.82977#1739246900.83558
0,33.395775,121.53334;1,126.4974,119.82254;2,35.89979,213.82419;3,128.15648,213.91136;1739246900.828445;1739246900.8470232;0.018579483032226562#0.01732#1739246900.84708#1739246900.85437
0,33.09328,122.511116;1,127.466034,119.990974;2,36.383316,212.99765;3,127.77161,213.09033;1739246900.8384595;1739246900.8622022;0.023743391036987305#0.01518#1739246900.86226#1739246900.86738
0,33.31106,120.50025;1,127.047325,119.91674;2,36.152695,213.12076;3,127.19766,213.17317;1739246900.8584857;1739246900.8800464;0.021561622619628906#0.01787#1739246900.88014#1739246900.88372
0,32.717854,121.63898;1,126.88157,120.396324;2,35.956055,213.74997;3,128.15393,214.54736;1739246900.8784757;1739246900.8953967;0.0169219970703125#0.01534#1739246900.89547#1739246900.89663
0,33.86028,121.69564;1,127.112526,120.804276;2,36.18772,213.56628;3,127.88401,213.1551;1739246900.8884904;1739246900.9127512;0.0242617130279541#0.01734#1739246900.91281#1739246900.91803
0,33.272377,120.69616;1,128.01727,121.1685;2,37.339985,213.63052;3,127.79056,214.8991;1739246900.9085262;1739246900.930949;0.022423505783081055#0.0182#1739246900.93102#1739246900.93504
0,33.83235,121.672066;1,127.48657,120.12319;2,36.747387,214.22697;3,128.03331,214.52158;1739246900.9285274;1739246900.9466004;0.01807379722595215#0.01565#1739246900.94666#1739246900.94913
0,33.747803,121.82125;1,127.73967,121.0977;2,36.516514,213.29364;3,127.42308,214.20757;1739246900.938549;1739246900.9626877;0.024139404296875#0.01608#1739246900.96274#1739246900.97088
0,32.77246,121.820595;1,127.61575,120.69475;2,36.26725,214.0407;3,127.3092,213.68547;1739246900.958562;1739246900.979507;0.020946025848388672#0.01682#1739246900.97958#1739246900.98386
0,32.548885,121.8538;1,127.082504,120.54818;2,36.14586,213.87659;3,127.568375,213.6415;1739246900.9785829;1739246900.9966328;0.0180509090423584#0.01712#1739246900.9967#1739246900.99793
0,33.432426,121.58727;1,127.46104,119.836815;2,36.76599,213.19525;3,127.40961,213.28094;1739246900.9885817;1739246901.0112543;0.022673606872558594#0.01462#1739246901.01131#1739246901.01982
0,33.49296,121.0276;1,128.05396,119.99983;2,36.3135,213.367;3,127.813156,214.25502;1739246901.0086124;1739246901.0286531;0.02004241943359375#0.01741#1739246901.02874#1739246901.03235
0,33.800976,120.43089;1,127.351494,120.19423;2,36.234238,213.75539;3,127.60306,213.6835;1739246901.0286095;1739246901.044604;0.015995502471923828#0.01595#1739246901.04468#1739246901.04567
0,33.24965,121.52016;1,127.6868,120.21892;2,36.48144,213.09854;3,127.36354,213.55537;1739246901.0386405;1739246901.0605369;0.021897077560424805#0.01592#1739246901.06059#1739246901.06741
0,32.874027,120.93073;1,127.28299,120.20927;2,36.058117,213.64606;3,127.34594,213.69897;1739246901.0586674;1739246901.0749419;0.016275644302368164#0.0144#1739246901.075#1739246901.08072
0,33.798706,121.27788;1,127.48936,120.01217;2,37.13412,213.6767;3,127.66105,213.96994;1739246901.0686617;1739246901.0931437;0.02448296546936035#0.01821#1739246901.09321#1739246901.097
0,32.48661,122.32602;1,126.70019,120.25505;2,36.05685,213.64809;3,127.92753,213.33679;1739246901.0886748;1739246901.1108012;0.022127389907836914#0.01766#1739246901.11086#1739246901.11753
